epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,6554.52,1.53087,1.05749,1.38356,0.83719,0.51163,0.62682,0.24773,2.27846,1.67911,1.79533,0.000159699,0.000159699,0.000159699
139,6601.49,1.52759,1.02502,1.36244,0.79022,0.52562,0.61787,0.24208,2.26244,1.68237,1.7656,0.000148696,0.000148696,0.000148696
140,6648.41,1.51315,1.03849,1.34524,0.75807,0.53953,0.59896,0.23985,2.28385,1.68856,1.80112,0.000137694,0.000137694,0.000137694
141,6712.51,1.51763,0.98354,1.45599,0.81808,0.51163,0.61767,0.24529,2.27082,1.69148,1.81806,0.000126692,0.000126692,0.000126692
142,6759.04,1.48041,0.93224,1.44548,0.83721,0.52093,0.62616,0.24885,2.30558,1.68005,1.81186,0.00011569,0.00011569,0.00011569
143,6806.03,1.45623,0.93274,1.41435,0.82685,0.51086,0.62474,0.25522,2.28498,1.63374,1.81613,0.000104688,0.000104688,0.000104688
144,6854.12,1.45651,0.92706,1.41367,0.84426,0.50429,0.62889,0.2532,2.28759,1.62693,1.80721,9.36854e-05,9.36854e-05,9.36854e-05
145,6901.54,1.4314,0.90894,1.39824,0.85932,0.52093,0.62773,0.24557,2.31251,1.62418,1.85047,8.26832e-05,8.26832e-05,8.26832e-05
146,6949.06,1.43414,0.91139,1.40277,0.82485,0.53023,0.62577,0.24811,2.29334,1.62054,1.83352,7.1681e-05,7.1681e-05,7.1681e-05
147,6997.11,1.44068,0.92482,1.41016,0.84121,0.51746,0.61663,0.24303,2.30826,1.62464,1.85259,6.06788e-05,6.06788e-05,6.06788e-05
148,7044.38,1.43147,0.88453,1.39405,0.83683,0.53023,0.63402,0.24925,2.31408,1.61681,1.84985,4.96766e-05,4.96766e-05,4.96766e-05
149,7093.13,1.41317,0.8801,1.37848,0.81936,0.53488,0.63603,0.24813,2.31714,1.60515,1.85728,3.86744e-05,3.86744e-05,3.86744e-05
150,7143.8,1.43728,0.90371,1.40139,0.8266,0.52093,0.63381,0.25114,2.32675,1.60355,1.8549,2.76722e-05,2.76722e-05,2.76722e-05
